date,team
20180711,CLE
20180711,OAK
20180711,MIN
20180711,TBA
20180712,COL
20180712,WAS
20180712,PIT
20180712,LAN
20180712,ANA
20180712,PHI
20180712,BOS
20180712,NYA
20180712,OAK
20180712,MIN
20180713,ARI
20180713,COL
20180713,LAN
20180713,PHI
20180713,NYN
20180713,PIT
20180713,CHN
20180713,SFN
20180713,CIN
20180713,TEX
20180713,TOR
20180713,CHA
20180713,CLE
20180713,HOU
20180713,MIN
20180714,ARI
20180714,COL
20180714,ANA
20180714,MIA
20180714,NYN
20180714,PIT
20180714,PIT
20180714,CHN
20180714,OAK
20180714,CIN
20180714,BAL
20180714,BOS
20180714,KCA
20180714,NYA
20180714,HOU
20180714,TBA
20180715,ATL
20180715,COL
20180715,LAN
20180715,MIA
20180715,WAS
20180715,PIT
20180715,CHN
20180715,OAK
20180715,SLN
20180715,BAL
20180715,BOS
20180715,CHA
20180715,CLE
20180715,DET
20180715,MIN
20180719,CHN
20180720,COL
20180720,SLN
20180720,PIT
20180720,LAN
20180720,PHI
20180720,ATL
20180720,HOU
20180720,BOS
20180720,KCA
20180720,NYN
20180720,SFN
20180720,SEA
20180720,MIA
20180720,CLE
20180720,TOR
20180721,COL
20180721,CHN
20180721,SLN
20180721,PIT
20180721,MIL
20180721,HOU
20180721,DET
20180721,KCA
20180721,NYA
20180721,OAK
20180721,CHA
20180721,MIA
20180721,CLE
20180721,TOR
20180722,ARI
20180722,CHN
20180722,PIT
20180722,LAN
20180722,SDN
20180722,PHI
20180722,WAS
20180722,ANA
20180722,BOS
20180722,KCA
20180722,OAK
20180722,SEA
20180722,TBA
20180722,TEX
20180722,TOR
20180723,ARI
20180723,CIN
20180723,ATL
20180723,MIL
20180723,SDN
20180723,LAN
20180723,CHA
20180723,BOS
20180723,PIT
20180723,DET
20180723,TBA
20180723,OAK
20180723,MIN
20180724,ARI
20180724,SLN
20180724,HOU
20180724,MIA
20180724,MIL
20180724,NYN
20180724,PHI
20180724,CHA
20180724,BAL
20180724,PIT
20180724,KCA
20180724,SFN
20180724,NYA
20180724,OAK
20180724,MIN
20180725,CHN
20180725,CIN
20180725,COL
20180725,WAS
20180725,NYN
20180725,PHI
20180725,ANA
20180725,CLE
20180725,DET
20180725,SEA
20180725,TBA
20180725,OAK
20180725,MIN
20180726,LAN
20180726,CHN
20180726,PHI
20180726,WAS
20180726,NYN
20180726,MIL
20180726,ANA
20180726,TBA
20180726,MIN
20180726,NYA
20180726,OAK
20180727,LAN
20180727,CIN
20180727,COL
20180727,WAS
20180727,PIT
20180727,ARI
20180727,MIL
20180727,SLN
20180727,ANA
20180727,BAL
20180727,BOS
20180727,TOR
20180727,CLE
20180727,TEX
20180728,LAN
20180728,CIN
20180728,COL
20180728,MIA
20180728,PIT
20180728,ARI
20180728,MIL
20180728,SLN
20180728,ANA
20180728,BAL
20180728,BOS
20180728,CHA
20180728,DET
20180728,TEX
20180728,KCA
20180728,NYA
20180729,ATL
20180729,CIN
20180729,COL
20180729,MIA
20180729,NYN
20180729,ARI
20180729,SFN
20180729,CHN
20180729,SEA
20180729,BAL
20180729,BOS
20180729,TOR
20180729,CLE
20180729,TEX
20180729,NYA
20180730,TEX
20180730,ATL
20180730,MIL
20180730,SFN
20180730,SLN
20180730,BOS
20180730,MIN
20180730,OAK
20180730,SEA
20180731,ARI
20180731,ATL
20180731,MIL
20180731,PIT
20180731,SFN
20180731,COL
20180731,WAS
20180731,PHI
20180731,KCA
20180731,DET
20180731,CLE
20180731,NYA
20180731,OAK
20180731,HOU
20180731,TBA
20180801,LAN
20180801,CHN
20180801,SLN
20180801,WAS
20180801,KCA
20180801,DET
20180801,CLE
20180801,BAL
20180801,OAK
20180801,HOU
20180801,TBA
20180802,SFN
20180802,SDN
20180802,LAN
20180802,ATL
20180802,PHI
20180802,SLN
20180802,WAS
20180802,BOS
20180802,CHA
20180802,TOR
20180802,TBA
20180802,TEX
20180803,ARI
20180803,CHN
20180803,HOU
20180803,MIL
20180803,ATL
20180803,PHI
20180803,PIT
20180803,BOS
20180803,ANA
20180803,MIN
20180803,OAK
20180803,TOR
20180803,CHA
20180803,TEX
20180804,ARI
20180804,CHN
20180804,HOU
20180804,MIL
20180804,NYN
20180804,PHI
20180804,SLN
20180804,CIN
20180804,WAS
20180804,BOS
20180804,CLE
20180804,MIN
20180804,OAK
20180804,TOR
20180804,CHA
20180804,TEX
20180805,SFN
20180805,SDN
20180805,LAN
20180805,COL
20180805,ATL
20180805,PHI
20180805,SLN
20180805,WAS
20180805,BOS
20180805,CLE
20180805,MIN
20180805,OAK
20180805,SEA
20180805,CHA
20180805,BAL
20180806,ARI
20180806,COL
20180806,MIA
20180806,NYN
20180806,HOU
20180806,ANA
20180806,NYA
20180806,CLE
20180806,CHN
20180806,SEA
20180807,PHI
20180807,PIT
20180807,SLN
20180807,SDN
20180807,CIN
20180807,HOU
20180807,WAS
20180807,ATL
20180807,ANA
20180807,NYA
20180807,MIN
20180807,CHN
20180807,LAN
20180807,TBA
20180807,TEX
20180807,BOS
20180808,ARI
20180808,PIT
20180808,SLN
20180808,MIL
20180808,NYN
20180808,ATL
20180808,ANA
20180808,NYA
20180808,CLE
20180808,KCA
20180808,OAK
20180808,BAL
20180808,TEX
20180808,BOS
20180809,LAN
20180809,SDN
20180809,PIT
20180809,WAS
