maxTemp,minTemp,wind,longitude,latitude
35.41,20.1,15.73,-86.2,46.0
35.88,21.05,17.46,-86.2,46.1
36.08,20.88,17.86,-86.2,46.2
36.19,20.34,18.71,-86.2,46.3
36.25,20.18,20.9,-86.2,46.4
36.34,20.13,21.93,-86.2,46.5
36.43,20.07,23.14,-86.2,46.6
51.56,38.95,20.13,-86.1,41.8
50.59,39.26,20.61,-86.1,41.9
49.94,39.7,21.08,-86.1,42.0
49.35,39.99,21.32,-86.1,42.1
48.72,40.16,21.55,-86.1,42.2
48.19,40.36,21.56,-86.1,42.3
47.36,40.42,21.5,-86.1,42.4
47.2,40.39,21.97,-86.1,42.5
46.59,39.9,22.47,-86.1,42.6
46.24,39.37,22.84,-86.1,42.7
45.72,39.18,23.07,-86.1,42.8
44.99,38.92,22.64,-86.1,42.9
43.83,38.01,22.58,-86.1,43.0
43.59,37.65,22.27,-86.1,43.1
42.16,36.73,22.19,-86.1,43.2
41.48,35.82,22.28,-86.1,43.3
41.44,35.23,22.09,-86.1,43.4
40.7,34.8,22.17,-86.1,43.5
39.94,34.68,22.3,-86.1,43.6
39.65,34.51,22.33,-86.1,43.7
39.62,34.19,22.29,-86.1,43.8
39.35,33.61,22.11,-86.1,43.9
39.31,33.35,22.12,-86.1,44.0
39.36,33.11,22.24,-86.1,44.1
39.44,32.93,22.41,-86.1,44.2
39.3,32.23,22.42,-86.1,44.3
39.25,31.98,22.14,-86.1,44.4
39.26,31.49,21.73,-86.1,44.5
39.32,31.05,20.84,-86.1,44.6
39.24,30.88,20.85,-86.1,44.7
35.75,21.02,17.18,-86.1,46.0
35.96,21.15,17.67,-86.1,46.1
36.2,20.45,17.6,-86.1,46.2
36.17,20.3,18.91,-86.1,46.3
36.27,20.26,19.72,-86.1,46.4
36.47,19.84,22.38,-86.1,46.5
36.68,19.83,24.24,-86.1,46.6
51.63,38.98,20.11,-86.0,41.8
50.64,39.22,20.56,-86.0,41.9
49.99,39.57,20.79,-86.0,42.0
49.4,39.85,21.25,-86.0,42.1
48.94,40.01,21.62,-86.0,42.2
48.61,40.1,21.68,-86.0,42.3
47.99,40.26,21.7,-86.0,42.4
47.28,40.32,22.09,-86.0,42.5
46.6,39.85,22.44,-86.0,42.6
46.31,39.52,22.71,-86.0,42.7
45.44,39.19,22.98,-86.0,42.8
44.96,38.9,22.73,-86.0,42.9
44.38,38.06,22.37,-86.0,43.0
43.7,37.51,22.38,-86.0,43.1
43.2,36.89,22.18,-86.0,43.2
41.49,35.6,22.22,-86.0,43.3
41.98,34.74,21.68,-86.0,43.4
41.02,34.64,21.99,-86.0,43.5
40.02,34.63,22.27,-86.0,43.6
39.61,34.48,22.33,-86.0,43.7
39.58,34.14,22.32,-86.0,43.8
39.36,33.62,22.14,-86.0,43.9
39.16,32.97,21.72,-86.0,44.0
39.19,32.81,21.84,-86.0,44.1
39.23,32.52,22.27,-86.0,44.2
39.13,31.98,22.13,-86.0,44.3
39.16,31.65,21.98,-86.0,44.4
39.02,31.11,21.73,-86.0,44.5
39.0,30.82,21.0,-86.0,44.6
38.97,30.48,20.89,-86.0,44.7
38.84,30.36,21.24,-86.0,44.8
38.3,27.87,20.83,-86.0,45.1
36.14,21.39,18.18,-86.0,46.0
36.07,21.23,18.48,-86.0,46.1
36.2,20.45,17.76,-86.0,46.2
36.32,20.28,18.23,-86.0,46.3
36.28,20.12,19.86,-86.0,46.4
36.49,19.88,21.48,-86.0,46.5
36.87,19.63,25.46,-86.0,46.6
51.6,38.92,20.11,-85.9,41.8
50.57,39.29,20.53,-85.9,41.9
50.18,39.43,20.58,-85.9,42.0
49.61,39.68,21.06,-85.9,42.1
48.96,39.91,21.66,-85.9,42.2
48.69,39.98,21.8,-85.9,42.3
48.09,40.16,21.84,-85.9,42.4
47.29,40.32,22.24,-85.9,42.5
46.67,39.92,22.45,-85.9,42.6
46.11,39.58,22.84,-85.9,42.7
45.39,39.23,23.01,-85.9,42.8
45.11,39.03,23.0,-85.9,42.9
44.56,38.47,22.93,-85.9,43.0
44.24,37.31,22.33,-85.9,43.1
43.3,36.84,22.29,-85.9,43.2
41.41,35.52,22.29,-85.9,43.3
41.45,35.06,22.04,-85.9,43.4
40.71,34.69,22.13,-85.9,43.5
39.97,34.6,22.28,-85.9,43.6
39.55,34.44,22.33,-85.9,43.7
39.32,33.69,22.08,-85.9,43.8
39.29,33.52,22.11,-85.9,43.9
39.07,32.78,21.58,-85.9,44.0
39.07,32.61,21.63,-85.9,44.1
39.01,32.12,22.09,-85.9,44.2
38.86,31.56,21.89,-85.9,44.3
38.88,31.19,21.8,-85.9,44.4
38.83,30.74,21.47,-85.9,44.5
38.9,30.59,21.3,-85.9,44.6
38.89,30.35,20.74,-85.9,44.7
38.88,29.95,20.74,-85.9,44.8
38.52,28.84,20.79,-85.9,44.9
36.47,21.38,18.3,-85.9,46.0
36.11,21.26,18.63,-85.9,46.1
36.23,20.81,18.34,-85.9,46.2
36.39,20.4,18.76,-85.9,46.3
36.33,19.91,19.95,-85.9,46.4
36.45,19.84,21.41,-85.9,46.5
36.82,19.63,24.16,-85.9,46.6
51.21,38.94,20.07,-85.8,41.8
50.77,39.11,20.09,-85.8,41.9
50.1,39.4,20.5,-85.8,42.0
49.27,39.73,21.46,-85.8,42.1
48.89,39.83,21.7,-85.8,42.2
48.66,39.91,21.88,-85.8,42.3
48.31,40.04,21.98,-85.8,42.4
47.38,40.25,22.29,-85.8,42.5
46.57,40.12,22.5,-85.8,42.6
46.18,39.62,22.93,-85.8,42.7
45.39,39.23,23.17,-85.8,42.8
44.89,38.68,23.29,-85.8,42.9
44.73,38.15,23.02,-85.8,43.0
44.38,37.31,22.5,-85.8,43.1
43.42,36.85,22.4,-85.8,43.2
41.55,35.53,22.11,-85.8,43.3
41.1,35.15,22.56,-85.8,43.4
40.62,34.86,22.24,-85.8,43.5
39.83,34.58,22.3,-85.8,43.6
39.45,34.4,22.32,-85.8,43.7
39.23,33.61,22.05,-85.8,43.8
39.21,33.41,22.06,-85.8,43.9
39.0,32.78,21.65,-85.8,44.0
38.94,32.38,21.44,-85.8,44.1
38.84,31.86,21.9,-85.8,44.2
38.67,31.27,21.67,-85.8,44.3
38.73,30.93,21.62,-85.8,44.4
38.71,30.52,21.33,-85.8,44.5
38.84,30.42,21.19,-85.8,44.6
38.96,30.14,20.95,-85.8,44.7
38.86,29.48,21.13,-85.8,44.8
38.5,28.82,20.63,-85.8,44.9
36.44,21.48,18.5,-85.8,46.0
36.21,20.96,17.99,-85.8,46.1
36.36,20.34,18.25,-85.8,46.2
36.45,20.04,18.89,-85.8,46.3
36.42,19.74,20.2,-85.8,46.4
36.6,19.63,21.25,-85.8,46.5
36.85,19.64,22.63,-85.8,46.6
50.99,38.9,20.02,-85.7,41.8
50.54,39.14,19.99,-85.7,41.9
49.96,39.36,20.35,-85.7,42.0
49.19,39.69,21.41,-85.7,42.1
48.87,39.8,21.76,-85.7,42.2
48.53,39.94,21.88,-85.7,42.3
48.3,39.99,22.03,-85.7,42.4
47.46,40.19,22.33,-85.7,42.5
46.92,40.26,22.82,-85.7,42.6
46.2,39.64,23.14,-85.7,42.7
45.69,39.01,23.45,-85.7,42.8
45.12,38.71,23.55,-85.7,42.9
44.76,38.14,23.31,-85.7,43.0
44.49,37.33,22.67,-85.7,43.1
44.41,37.07,22.36,-85.7,43.2
42.65,35.79,22.43,-85.7,43.3
40.93,35.19,22.69,-85.7,43.4
40.42,34.87,22.3,-85.7,43.5
39.97,34.71,22.28,-85.7,43.6
39.31,34.08,22.09,-85.7,43.7
39.16,33.52,22.01,-85.7,43.8
39.11,33.3,22.0,-85.7,43.9
38.89,32.6,21.53,-85.7,44.0
38.79,32.14,21.27,-85.7,44.1
38.46,31.1,21.54,-85.7,44.2
38.46,30.95,21.47,-85.7,44.3
38.44,30.35,21.29,-85.7,44.4
38.6,30.31,21.18,-85.7,44.5
38.82,30.28,21.03,-85.7,44.6
39.15,30.12,20.71,-85.7,44.7
39.03,29.53,20.88,-85.7,44.8
38.61,28.67,20.85,-85.7,44.9
38.5,28.39,21.02,-85.7,45.0
36.5,21.56,18.71,-85.7,46.0
